21569;1;2006
22541;1;2007
23199;1;2008
11433;2;2008
15355;1;2008
17316;2;2008
24235;1;2006
12155;1;2006
29680;2;2007
15639;2;2007
23483;1;2007
30101;2;2008
14099;1;2008
16060;1;2008
27873;1;2007
11871;2;2007
21990;1;2007
20029;1;2007
25912;1;2007
14804;1;2008
12843;1;2008
12285;1;2005
28708;1;2006
12706;1;2006
29129;1;2007
21285;1;2007
13127;1;2007
21706;1;2008
29550;2;2008
27589;1;2008
13548;1;2008
29614;2;2005
15556;1;2007
20450;1;2008
12292;1;2008
15289;1;2006
18773;1;2007
24656;1;2007
20734;1;2007
17233;1;2008
21155;1;2008
25077;1;2008
11083;1;2007
30018;2;2008
15977;1;2008
23821;1;2008
17938;1;2008
14300;1;2007
16261;1;2007
18222;1;2007
16682;1;2008
14721;1;2008
28762;1;2008
13340;1;2006
16273;1;2007
20195;1;2007
21167;1;2008
25089;1;2008
19206;1;2008
12084;1;2006
30047;1;2006
22203;1;2006
23412;2;2007
19490;1;2007
21451;1;2007
17950;1;2008
25794;1;2008
19911;1;2008
23833;1;2008
15722;1;2007
13761;1;2007
16694;1;2008
24538;1;2008
18655;1;2008
15017;1;2007
11095;2;2007
16978;1;2007
15438;1;2008
17399;1;2008
13541;1;2005
27251;1;2007
19407;1;2007
25290;1;2007
21368;1;2007
12221;1;2008
22340;1;2008
14182;1;2008
11296;1;2006
12505;1;2007
26546;1;2007
12789;1;2006
22908;1;2006
11012;1;2007
16895;1;2007
19828;1;2008
11670;1;2008
25711;1;2008
18151;1;2007
22073;1;2007
24034;1;2007
26416;1;2008
20533;1;2008
16611;1;2008
29869;2;2006
24644;1;2007
14839;2;2007
16800;1;2007
21694;1;2008
23655;1;2008
11575;1;2008
23939;1;2007
25900;1;2007
29448;1;2005
12327;1;2007
16249;1;2007
14288;1;2007
17221;2;2008
16663;1;2005
14702;1;2005
15544;1;2007
17505;1;2007
13583;2;2007
14004;1;2008
28045;1;2008
15965;1;2008
30006;1;2008
19934;1;2007
11776;1;2007
12748;1;2008
22867;1;2008
14709;1;2008
28750;1;2008
17285;1;2005
29786;2;2006
27073;1;2007
25112;1;2007
21190;1;2007
13032;1;2007
29034;1;2007
25533;1;2008
27494;1;2008
19650;1;2008
13316;1;2006
15461;1;2007
19383;1;2007
11539;1;2007
23305;1;2007
20355;1;2008
26238;1;2008
18394;1;2008
27641;1;2005
24561;1;2007
16717;1;2007
18678;1;2007
