707;2005-07-01 00:00:00.000;24
707;2005-08-01 00:00:00.000;58
707;2005-09-01 00:00:00.000;55
707;2005-10-01 00:00:00.000;41
707;2005-11-01 00:00:00.000;77
707;2005-12-01 00:00:00.000;64
707;2006-01-01 00:00:00.000;12
707;2006-02-01 00:00:00.000;31
707;2006-03-01 00:00:00.000;30
707;2006-04-01 00:00:00.000;27
707;2006-05-01 00:00:00.000;93
707;2006-06-01 00:00:00.000;52
707;2006-07-01 00:00:00.000;162
707;2006-08-01 00:00:00.000;214
707;2006-09-01 00:00:00.000;197
707;2006-10-01 00:00:00.000;108
707;2006-11-01 00:00:00.000;147
707;2006-12-01 00:00:00.000;113
707;2007-01-01 00:00:00.000;50
707;2007-02-01 00:00:00.000;54
707;2007-03-01 00:00:00.000;45
707;2007-04-01 00:00:00.000;111
707;2007-05-01 00:00:00.000;146
707;2007-06-01 00:00:00.000;146
707;2007-07-01 00:00:00.000;224
707;2007-07-02 00:00:00.000;2
707;2007-07-03 00:00:00.000;2
707;2007-07-04 00:00:00.000;4
707;2007-07-05 00:00:00.000;2
707;2007-07-06 00:00:00.000;1
707;2007-07-09 00:00:00.000;1
707;2007-07-13 00:00:00.000;3
707;2007-07-14 00:00:00.000;4
707;2007-07-15 00:00:00.000;1
707;2007-07-16 00:00:00.000;4
707;2007-07-17 00:00:00.000;2
707;2007-07-21 00:00:00.000;2
707;2007-07-23 00:00:00.000;2
707;2007-07-24 00:00:00.000;3
707;2007-07-25 00:00:00.000;1
707;2007-07-26 00:00:00.000;3
707;2007-07-27 00:00:00.000;1
707;2007-07-28 00:00:00.000;1
707;2007-07-29 00:00:00.000;2
707;2007-07-31 00:00:00.000;4
707;2007-08-01 00:00:00.000;242
707;2007-08-02 00:00:00.000;7
707;2007-08-03 00:00:00.000;4
707;2007-08-04 00:00:00.000;2
707;2007-08-05 00:00:00.000;2
707;2007-08-06 00:00:00.000;8
707;2007-08-07 00:00:00.000;8
707;2007-08-08 00:00:00.000;10
707;2007-08-09 00:00:00.000;5
707;2007-08-10 00:00:00.000;6
707;2007-08-11 00:00:00.000;6
